PROVINCIA	Autonomia
Araba_Alava	PaisVasco
Albacete	CastillaLaMancha
Alicante_Alacant	ComunitatValenciana
Almeria	Andalucia
Avila	CastillayLeon
Badajoz	Extremadura
BalearsIlles	BalearsIlles
Barcelona	Cataluna
Burgos	CastillayLeon
Caceres	Extremadura
Cadiz	Andalucia
Castellon_Castello	ComunitatValenciana
CiudadReal	CastillaLaMancha
Cordoba	Andalucia
CorunaA	Galicia
Cuenca	CastillaLaMancha
Girona	Cataluna
Granada	Andalucia
Guadalajara	CastillaLaMancha
Gipuzkoa	PaisVasco
Huelva	Andalucia
Huesca	Aragon
Jaen	Andalucia
Leon	CastillayLeon
Lleida	Cataluna
RiojaLa	RiojaLa
Lugo	Galicia
Madrid	MadridComunidadde
Malaga	Andalucia
Murcia	MurciaRegionde
Navarra	NavarraComunidadForalde
Ourense	Galicia
Asturias	AsturiasPrincipadode
Palencia	CastillayLeon
PalmasLas	Canarias
Pontevedra	Galicia
Salamanca	CastillayLeon
SantaCruzdeTenerife	Canarias
Cantabria	Cantabria
Segovia	CastillayLeon
Sevilla	Andalucia
Soria	CastillayLeon
Tarragona	Cataluna
Teruel	Aragon
Toledo	CastillaLaMancha
Valencia_Valencia	ComunitatValenciana
Valladolid	CastillayLeon
Bizkaia	PaisVasco
Zamora	CastillayLeon
Zaragoza	Aragon
Ceuta	Ceuta
Melilla	Melilla
